%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1646632431600008091,6743,1646632431599851932,gnss,-1,1,35.152945564,136.967559227,84.3506,2.6748,1.2424,-2.0226,1.2424,3.0641,-2.7126,-2.0226,-2.7126,7.8223,3
1646632431801092954,6744,1646632431800991316,gnss,-1,1,35.152945649,136.96755906,84.3926,2.6748,1.2424,-2.0225,1.2424,3.0641,-2.7125,-2.0225,-2.7125,7.8223,3
1646632432002242104,6745,1646632432002129096,gnss,-1,1,35.152945293,136.967559039,84.3853,2.6748,1.2423,-2.0225,1.2423,3.0641,-2.7124,-2.0225,-2.7124,7.8222,3
1646632432194488831,6746,1646632432194369807,gnss,-1,1,35.152945268,136.967558579,84.366,2.6748,1.2423,-2.0225,1.2423,3.064,-2.7123,-2.0225,-2.7123,7.8222,3
1646632432397614584,6747,1646632432397065972,gnss,-1,1,35.152945365,136.967558624,84.3322,2.6748,1.2423,-2.0224,1.2423,3.064,-2.7122,-2.0224,-2.7122,7.8221,3
1646632432598207490,6748,1646632432598012672,gnss,-1,1,35.152945256,136.967558511,84.3981,2.6748,1.2423,-2.0224,1.2423,3.064,-2.7121,-2.0224,-2.7121,7.8221,3
1646632432801895934,6749,1646632432801554857,gnss,-1,1,35.152945198,136.967558413,84.3715,2.6748,1.2423,-2.0224,1.2423,3.064,-2.712,-2.0224,-2.712,7.822,3
1646632433007852346,6750,1646632433002074249,gnss,-1,1,35.152945229,136.967558523,84.4327,2.6748,1.2423,-2.0223,1.2423,3.0639,-2.7118,-2.0223,-2.7118,7.822,3
1646632433201647451,6751,1646632433201538195,gnss,-1,1,35.152945181,136.967558889,84.3981,2.6748,1.2423,-2.0223,1.2423,3.0639,-2.7117,-2.0223,-2.7117,7.8219,3
1646632433396400279,6752,1646632433395922933,gnss,-1,1,35.152944892,136.967558777,84.3235,2.6748,1.2423,-2.0223,1.2423,3.0639,-2.7116,-2.0223,-2.7116,7.8219,3
1646632433596081363,6753,1646632433595851679,gnss,-1,1,35.152944594,136.967558351,84.3641,2.6748,1.2422,-2.0222,1.2422,3.0639,-2.7115,-2.0222,-2.7115,7.8218,3
1646632433795251960,6754,1646632433795105122,gnss,-1,1,35.152945394,136.967559166,84.4277,2.7296,1.3417,-1.9926,1.3417,3.1,-2.6923,-1.9926,-2.6923,7.8248,3
1646632433998258362,6755,1646632433998049261,gnss,-1,1,35.152944024,136.967557903,84.3194,2.6748,1.2422,-2.0222,1.2422,3.0638,-2.7113,-2.0222,-2.7113,7.8217,3
1646632434199510627,6756,1646632434199345119,gnss,-1,1,35.152945291,136.967559323,84.3739,2.7296,1.3416,-1.9925,1.3416,3.0999,-2.6921,-1.9925,-2.6921,7.8247,3
1646632434401509863,6757,1646632434401275857,gnss,-1,1,35.152945248,136.967559045,84.5347,2.7296,1.3416,-1.9925,1.3416,3.0999,-2.692,-1.9925,-2.692,7.8247,3
1646632434602563229,6758,1646632434602332766,gnss,-1,1,35.152944865,136.967558674,84.5435,2.7296,1.3416,-1.9924,1.3416,3.0999,-2.6919,-1.9924,-2.6919,7.8246,3
